StoreID,FranchiseOwner,Region,SurveyWeek,FiscalYear,FiscalQuarter,FiscalMonth,TotalResponses,TopBoxResponses,OSAT_TopBox_Pct,FoodQuality_Score,Service_Score,Cleanliness_Score,ValueScore
#8001,Adelphi Holdings,Northeast,2024-05-27,2024,Q2,5,28,21,74.3,4.29,4.12,4.25,3.89
#8001,Adelphi Holdings,Northeast,2024-06-03,2024,Q2,6,28,21,73.9,4.09,4.0,4.24,3.92
#8001,Adelphi Holdings,Northeast,2024-06-10,2024,Q2,6,31,23,73.6,4.19,4.04,4.16,3.96
#8001,Adelphi Holdings,Northeast,2024-06-17,2024,Q2,6,33,25,74.5,4.09,4.1,4.3,3.93
#8001,Adelphi Holdings,Northeast,2024-07-08,2024,Q3,7,29,21,72.3,4.25,4.28,4.11,3.86
#8001,Adelphi Holdings,Northeast,2024-07-15,2024,Q3,7,35,26,73.5,4.22,4.13,4.31,4.06
#8001,Adelphi Holdings,Northeast,2024-07-29,2024,Q3,7,36,27,75.3,4.28,4.18,4.32,4.06
#8001,Adelphi Holdings,Northeast,2024-08-12,2024,Q3,8,29,21,73.2,4.11,4.18,4.32,4.05
#8001,Adelphi Holdings,Northeast,2024-08-19,2024,Q3,8,30,22,72.6,4.27,4.21,4.2,3.97
#8001,Adelphi Holdings,Northeast,2024-08-26,2024,Q3,8,36,26,72.9,4.21,4.29,4.17,4.11
#8001,Adelphi Holdings,Northeast,2024-09-02,2024,Q3,9,33,25,74.9,4.12,4.18,4.14,4.1
#8001,Adelphi Holdings,Northeast,2024-09-09,2024,Q3,9,37,28,75.0,4.16,4.2,4.39,4.07
#8001,Adelphi Holdings,Northeast,2024-09-16,2024,Q3,9,35,25,72.8,4.3,4.28,4.21,4.09
#8001,Adelphi Holdings,Northeast,2024-09-30,2024,Q3,9,31,23,74.4,4.34,4.18,4.37,4.05
#8001,Adelphi Holdings,Northeast,2024-10-07,2024,Q4,10,33,24,73.6,4.2,4.0,4.17,4.08
#8001,Adelphi Holdings,Northeast,2024-10-14,2024,Q4,10,28,21,74.6,4.11,4.12,4.13,4.01
#8001,Adelphi Holdings,Northeast,2024-10-21,2024,Q4,10,32,23,72.5,4.31,4.15,4.21,3.89
#8001,Adelphi Holdings,Northeast,2024-10-28,2024,Q4,10,32,23,73.2,4.22,4.13,4.12,4.01
#8001,Adelphi Holdings,Northeast,2024-11-04,2024,Q4,11,37,27,73.0,4.07,4.08,4.11,3.84
#8001,Adelphi Holdings,Northeast,2024-11-11,2024,Q4,11,31,23,74.3,4.22,4.01,4.21,3.88
#8001,Adelphi Holdings,Northeast,2024-11-18,2024,Q4,11,34,25,72.5,4.1,4.04,4.31,4.12
#8001,Adelphi Holdings,Northeast,2024-11-25,2024,Q4,11,35,26,73.1,4.18,4.02,4.28,4.09
#8001,Adelphi Holdings,Northeast,2024-12-02,2024,Q4,12,29,21,74.0,4.13,4.17,4.13,4.14
#8001,Adelphi Holdings,Northeast,2024-12-09,2024,Q4,12,34,26,75.4,4.08,4.06,4.22,3.85
#8001,Adelphi Holdings,Northeast,2024-12-16,2024,Q4,12,28,20,72.9,4.05,4.02,4.3,3.94
#8001,Adelphi Holdings,Northeast,2024-12-23,2024,Q4,12,36,27,75.6,4.19,4.15,4.19,4.14
#8001,Adelphi Holdings,Northeast,2024-12-30,2024,Q4,12,35,26,74.8,4.07,4.17,4.17,3.9
#8001,Adelphi Holdings,Northeast,2025-01-06,2025,Q1,1,27,20,72.8,4.3,4.04,4.19,3.88
#8001,Adelphi Holdings,Northeast,2025-01-13,2025,Q1,1,36,27,74.6,4.2,4.22,4.24,4.1
#8001,Adelphi Holdings,Northeast,2025-01-20,2025,Q1,1,28,20,72.9,4.29,4.28,4.18,4.07
#8001,Adelphi Holdings,Northeast,2025-02-03,2025,Q1,2,29,21,73.5,4.3,4.24,4.32,4.08
#8001,Adelphi Holdings,Northeast,2025-02-10,2025,Q1,2,35,26,75.5,4.11,4.26,4.12,4.08
#8001,Adelphi Holdings,Northeast,2025-02-17,2025,Q1,2,35,26,73.4,4.12,4.19,4.37,4.03
#8001,Adelphi Holdings,Northeast,2025-02-24,2025,Q1,2,30,22,73.2,4.32,4.1,4.16,3.88
#8001,Adelphi Holdings,Northeast,2025-03-03,2025,Q1,3,27,20,73.8,4.24,4.08,4.25,3.94
#8001,Adelphi Holdings,Northeast,2025-03-17,2025,Q1,3,35,26,74.0,4.04,4.26,4.17,3.88
#8001,Adelphi Holdings,Northeast,2025-03-24,2025,Q1,3,29,22,74.8,4.13,4.09,4.22,4.12
#8001,Adelphi Holdings,Northeast,2025-03-31,2025,Q1,3,34,25,73.9,4.12,4.11,4.11,3.96
#8001,Adelphi Holdings,Northeast,2025-04-07,2025,Q2,4,34,25,74.8,4.27,4.08,4.38,3.89
#8001,Adelphi Holdings,Northeast,2025-04-14,2025,Q2,4,30,22,73.8,4.3,4.25,4.37,4.12
#8001,Adelphi Holdings,Northeast,2025-04-28,2025,Q2,4,36,26,72.5,4.26,4.03,4.33,4.05
#8001,Adelphi Holdings,Northeast,2025-05-05,2025,Q2,5,33,25,75.2,4.21,4.11,4.22,3.91
#8001,Adelphi Holdings,Northeast,2025-05-12,2025,Q2,5,32,24,74.3,4.07,4.1,4.24,3.89
#8001,Adelphi Holdings,Northeast,2025-05-19,2025,Q2,5,37,28,74.5,4.11,4.2,4.19,3.91
#8001,Adelphi Holdings,Northeast,2025-05-26,2025,Q2,5,32,24,74.0,4.2,4.2,4.36,3.89
#8001,Adelphi Holdings,Northeast,2025-06-02,2025,Q2,6,30,22,72.5,4.13,3.99,4.11,3.94
#8001,Adelphi Holdings,Northeast,2025-06-09,2025,Q2,6,30,22,73.9,4.14,4.0,4.25,4.03
#8001,Adelphi Holdings,Northeast,2025-06-30,2025,Q2,6,28,21,73.8,4.18,4.23,4.12,4.06
#8001,Adelphi Holdings,Northeast,2025-07-07,2025,Q3,7,32,23,72.6,4.29,4.07,4.32,3.92
#8001,Adelphi Holdings,Northeast,2025-07-21,2025,Q3,7,36,27,73.7,4.29,4.09,4.29,4.09
#8001,Adelphi Holdings,Northeast,2025-07-28,2025,Q3,7,36,26,73.2,4.07,4.03,4.35,3.97
#8001,Adelphi Holdings,Northeast,2025-08-11,2025,Q3,8,27,20,72.6,4.08,4.15,4.17,4.01
#8001,Adelphi Holdings,Northeast,2025-08-18,2025,Q3,8,31,23,73.1,4.24,4.26,4.26,3.94
#8001,Adelphi Holdings,Northeast,2025-09-01,2025,Q3,9,33,24,72.5,4.27,4.14,4.22,4.01
#8001,Adelphi Holdings,Northeast,2025-09-08,2025,Q3,9,32,24,74.5,4.24,4.17,4.28,4.02
#8001,Adelphi Holdings,Northeast,2025-09-15,2025,Q3,9,33,24,74.2,4.27,4.09,4.1,3.91
#8001,Adelphi Holdings,Northeast,2025-09-22,2025,Q3,9,34,25,74.2,4.28,4.18,4.15,4.11
#8001,Adelphi Holdings,Northeast,2025-09-29,2025,Q3,9,37,28,75.5,4.16,4.25,4.22,3.86
#8001,Adelphi Holdings,Northeast,2025-10-06,2025,Q4,10,36,27,75.3,4.13,4.12,4.14,4.12
#8001,Adelphi Holdings,Northeast,2025-10-27,2025,Q4,10,33,24,74.0,4.2,4.28,4.14,3.99
#8001,Adelphi Holdings,Northeast,2025-11-03,2025,Q4,11,28,21,74.5,4.24,4.05,4.26,3.93
#8001,Adelphi Holdings,Northeast,2025-11-17,2025,Q4,11,34,25,74.0,4.13,4.2,4.14,4.12
#8001,Adelphi Holdings,Northeast,2025-11-24,2025,Q4,11,35,26,74.8,4.17,4.11,4.13,3.96
#8001,Adelphi Holdings,Northeast,2025-12-01,2025,Q4,12,27,20,73.8,4.28,4.14,4.13,3.85
#8001,Adelphi Holdings,Northeast,2025-12-15,2025,Q4,12,29,21,73.3,4.06,4.11,4.37,3.92
#8001,Adelphi Holdings,Northeast,2025-12-22,2025,Q4,12,37,28,75.0,4.2,4.26,4.24,4.0
#8001,Adelphi Holdings,Northeast,2026-01-05,2026,Q1,1,35,26,73.8,4.34,4.16,4.14,3.94
#8001,Adelphi Holdings,Northeast,2026-01-12,2026,Q1,1,28,21,75.4,4.2,4.17,4.36,4.0
#8001,Adelphi Holdings,Northeast,2026-01-19,2026,Q1,1,32,24,75.3,4.15,4.01,4.21,4.05
#8001,Adelphi Holdings,Northeast,2026-01-26,2026,Q1,1,30,22,73.6,4.24,4.12,4.16,3.9
#8001,Adelphi Holdings,Northeast,2026-02-02,2026,Q1,2,35,26,73.9,4.3,4.2,4.22,3.86
#8001,Adelphi Holdings,Northeast,2026-02-09,2026,Q1,2,27,20,74.1,4.11,3.99,4.33,4.03
#8001,Adelphi Holdings,Northeast,2026-02-16,2026,Q1,2,34,25,73.0,4.08,4.0,4.12,3.88
#8001,Adelphi Holdings,Northeast,2026-02-23,2026,Q1,2,31,23,74.4,4.13,4.18,4.18,4.02
#8001,Adelphi Holdings,Northeast,2026-03-02,2026,Q1,3,32,23,73.1,4.2,4.28,4.27,4.08
#8001,Adelphi Holdings,Northeast,2026-03-09,2026,Q1,3,28,21,74.2,4.12,4.26,4.12,3.88
#8001,Adelphi Holdings,Northeast,2026-03-16,2026,Q1,3,28,21,74.0,4.18,4.11,4.14,4.04
#8001,Adelphi Holdings,Northeast,2026-03-23,2026,Q1,3,28,20,72.3,4.25,4.04,4.18,4.03
#8001,Adelphi Holdings,Northeast,2026-03-30,2026,Q1,3,36,27,75.5,4.24,4.1,4.35,4.13
#8001,Adelphi Holdings,Northeast,2026-04-06,2026,Q2,4,34,25,73.1,4.06,4.14,4.2,4.12
#8001,Adelphi Holdings,Northeast,2026-04-13,2026,Q2,4,29,21,73.7,4.23,4.28,4.3,4.03
#8001,Adelphi Holdings,Northeast,2026-04-20,2026,Q2,4,34,25,72.8,4.14,4.17,4.36,3.96
#8001,Adelphi Holdings,Northeast,2026-04-27,2026,Q2,4,34,26,75.5,4.26,4.14,4.31,3.97
#8001,Adelphi Holdings,Northeast,2026-05-04,2026,Q2,5,37,27,74.1,4.23,4.1,4.1,4.07
#8001,Adelphi Holdings,Northeast,2026-05-11,2026,Q2,5,29,21,72.9,4.18,4.02,4.1,4.07
#8001,Adelphi Holdings,Northeast,2026-05-18,2026,Q2,5,32,24,73.8,4.22,4.02,4.22,3.9
#8001,Adelphi Holdings,Northeast,2026-05-25,2026,Q2,5,33,24,73.6,4.24,4.01,4.15,4.14
#8002,Adelphi Holdings,Northeast,2024-01-01,2024,Q1,1,33,24,72.8,4.28,4.02,4.28,3.89
#8002,Adelphi Holdings,Northeast,2024-01-08,2024,Q1,1,36,26,72.3,4.25,4.13,4.37,3.84
#8002,Adelphi Holdings,Northeast,2024-01-15,2024,Q1,1,36,26,73.3,4.26,3.99,4.09,3.95
#8002,Adelphi Holdings,Northeast,2024-01-22,2024,Q1,1,35,26,74.4,4.04,4.2,4.24,4.11
#8002,Adelphi Holdings,Northeast,2024-01-29,2024,Q1,1,36,26,72.2,4.13,4.02,4.13,4.08
#8002,Adelphi Holdings,Northeast,2024-02-05,2024,Q1,2,29,21,72.4,4.33,4.16,4.26,3.84
#8002,Adelphi Holdings,Northeast,2024-02-12,2024,Q1,2,33,25,74.3,4.32,4.05,4.26,4.13
#8002,Adelphi Holdings,Northeast,2024-02-19,2024,Q1,2,36,27,75.3,4.15,4.28,4.37,3.88
#8002,Adelphi Holdings,Northeast,2024-02-26,2024,Q1,2,29,21,73.0,4.26,4.23,4.2,3.93
#8002,Adelphi Holdings,Northeast,2024-03-04,2024,Q1,3,29,21,72.4,4.16,4.27,4.19,4.05
#8002,Adelphi Holdings,Northeast,2024-03-11,2024,Q1,3,29,22,74.5,4.04,4.06,4.27,4.0
#8002,Adelphi Holdings,Northeast,2024-03-25,2024,Q1,3,30,23,75.3,4.09,4.16,4.24,3.84
#8002,Adelphi Holdings,Northeast,2024-04-01,2024,Q2,4,36,26,72.5,4.27,4.24,4.34,3.93
#8002,Adelphi Holdings,Northeast,2024-04-08,2024,Q2,4,32,24,73.9,4.05,4.11,4.38,3.88
#8002,Adelphi Holdings,Northeast,2024-04-22,2024,Q2,4,33,25,74.5,4.13,4.16,4.35,4.02
#8002,Adelphi Holdings,Northeast,2024-05-13,2024,Q2,5,29,22,74.3,4.31,4.26,4.23,3.97
#8002,Adelphi Holdings,Northeast,2024-05-27,2024,Q2,5,28,21,73.7,4.21,4.26,4.21,3.91
#8002,Adelphi Holdings,Northeast,2024-06-10,2024,Q2,6,28,20,72.5,4.06,4.15,4.26,3.89
#8002,Adelphi Holdings,Northeast,2024-06-17,2024,Q2,6,30,22,73.8,4.33,3.99,4.13,4.02
#8002,Adelphi Holdings,Northeast,2024-06-24,2024,Q2,6,32,24,74.1,4.09,4.15,4.25,4.03
#8002,Adelphi Holdings,Northeast,2024-07-01,2024,Q3,7,32,23,73.3,4.07,4.24,4.13,3.86
#8002,Adelphi Holdings,Northeast,2024-07-08,2024,Q3,7,31,23,74.3,4.06,4.16,4.23,3.85
#8002,Adelphi Holdings,Northeast,2024-07-15,2024,Q3,7,36,27,74.7,4.04,4.12,4.18,3.93
#8002,Adelphi Holdings,Northeast,2024-07-29,2024,Q3,7,36,27,74.9,4.09,4.21,4.37,3.98
#8002,Adelphi Holdings,Northeast,2024-08-19,2024,Q3,8,33,24,73.8,4.29,4.13,4.28,4.06
#8002,Adelphi Holdings,Northeast,2024-09-09,2024,Q3,9,35,26,73.0,4.23,4.28,4.36,3.87
#8002,Adelphi Holdings,Northeast,2024-09-16,2024,Q3,9,36,27,74.0,4.05,4.08,4.34,3.9
#8002,Adelphi Holdings,Northeast,2024-09-23,2024,Q3,9,34,25,74.5,4.25,4.0,4.28,3.87
#8002,Adelphi Holdings,Northeast,2024-09-30,2024,Q3,9,32,24,74.3,4.13,4.0,4.36,3.89
#8002,Adelphi Holdings,Northeast,2024-10-14,2024,Q4,10,28,20,72.4,4.07,4.05,4.33,3.92
#8002,Adelphi Holdings,Northeast,2024-10-21,2024,Q4,10,34,25,72.2,4.19,4.05,4.22,3.91
#8002,Adelphi Holdings,Northeast,2024-10-28,2024,Q4,10,34,25,74.0,4.13,4.22,4.1,3.95
#8002,Adelphi Holdings,Northeast,2024-11-04,2024,Q4,11,30,22,73.2,4.2,4.08,4.3,3.89
#8002,Adelphi Holdings,Northeast,2024-11-11,2024,Q4,11,31,23,74.0,4.24,4.23,4.28,3.99
#8002,Adelphi Holdings,Northeast,2024-11-18,2024,Q4,11,27,20,75.2,4.15,4.19,4.3,3.85
#8002,Adelphi Holdings,Northeast,2024-11-25,2024,Q4,11,36,26,73.1,4.3,4.03,4.28,3.96
#8002,Adelphi Holdings,Northeast,2024-12-02,2024,Q4,12,36,26,72.5,4.28,4.04,4.3,4.12
#8002,Adelphi Holdings,Northeast,2024-12-09,2024,Q4,12,29,22,75.1,4.09,4.12,4.25,4.03
#8002,Adelphi Holdings,Northeast,2024-12-16,2024,Q4,12,29,22,74.2,4.28,4.25,4.29,3.95
#8002,Adelphi Holdings,Northeast,2025-01-06,2025,Q1,1,28,21,74.2,4.13,4.01,4.09,4.08
#8002,Adelphi Holdings,Northeast,2025-01-13,2025,Q1,1,28,20,71.9,4.06,4.23,4.31,3.85
#8002,Adelphi Holdings,Northeast,2025-02-03,2025,Q1,2,31,23,72.7,4.32,4.09,4.3,3.93
#8002,Adelphi Holdings,Northeast,2025-02-10,2025,Q1,2,31,23,74.2,4.23,4.27,4.1,4.11
#8002,Adelphi Holdings,Northeast,2025-03-03,2025,Q1,3,35,26,74.9,4.06,4.02,4.11,3.9
#8002,Adelphi Holdings,Northeast,2025-03-10,2025,Q1,3,31,23,74.9,4.23,4.28,4.24,4.0
#8002,Adelphi Holdings,Northeast,2025-03-17,2025,Q1,3,33,24,74.2,4.11,4.03,4.09,3.97
#8002,Adelphi Holdings,Northeast,2025-03-24,2025,Q1,3,31,23,74.1,4.19,4.01,4.29,4.02
#8002,Adelphi Holdings,Northeast,2025-03-31,2025,Q1,3,35,26,73.3,4.31,4.19,4.3,3.91
#8002,Adelphi Holdings,Northeast,2025-04-07,2025,Q2,4,27,20,74.2,4.12,4.26,4.19,3.93
#8002,Adelphi Holdings,Northeast,2025-04-14,2025,Q2,4,36,27,74.1,4.21,4.18,4.32,3.89
#8002,Adelphi Holdings,Northeast,2025-04-21,2025,Q2,4,31,22,72.0,4.27,4.16,4.12,4.1
#8002,Adelphi Holdings,Northeast,2025-04-28,2025,Q2,4,31,23,74.7,4.3,4.26,4.27,4.12
#8002,Adelphi Holdings,Northeast,2025-05-05,2025,Q2,5,30,22,74.0,4.3,4.23,4.13,3.85
#8002,Adelphi Holdings,Northeast,2025-05-12,2025,Q2,5,32,24,74.4,4.23,4.23,4.34,4.09
#8002,Adelphi Holdings,Northeast,2025-05-19,2025,Q2,5,27,20,73.8,4.29,4.03,4.38,4.02
#8002,Adelphi Holdings,Northeast,2025-05-26,2025,Q2,5,36,26,72.1,4.24,4.01,4.23,4.03
#8002,Adelphi Holdings,Northeast,2025-06-02,2025,Q2,6,29,21,72.4,4.13,4.1,4.3,4.02
#8002,Adelphi Holdings,Northeast,2025-06-09,2025,Q2,6,32,24,73.5,4.16,4.11,4.28,4.07
#8002,Adelphi Holdings,Northeast,2025-06-16,2025,Q2,6,32,23,72.1,4.12,4.16,4.13,3.98
#8002,Adelphi Holdings,Northeast,2025-06-30,2025,Q2,6,36,27,75.2,4.15,4.03,4.33,4.12
#8002,Adelphi Holdings,Northeast,2025-07-07,2025,Q3,7,28,21,74.8,4.26,3.98,4.2,4.11
#8002,Adelphi Holdings,Northeast,2025-07-14,2025,Q3,7,33,24,73.8,4.24,4.25,4.23,3.88
#8002,Adelphi Holdings,Northeast,2025-07-28,2025,Q3,7,30,22,73.8,4.3,4.12,4.12,3.9
#8002,Adelphi Holdings,Northeast,2025-08-11,2025,Q3,8,36,27,74.0,4.09,4.12,4.13,4.0
#8002,Adelphi Holdings,Northeast,2025-08-25,2025,Q3,8,35,26,74.3,4.19,4.15,4.25,3.85
#8002,Adelphi Holdings,Northeast,2025-09-01,2025,Q3,9,32,23,73.0,4.21,4.05,4.14,3.97
#8002,Adelphi Holdings,Northeast,2025-09-08,2025,Q3,9,31,23,73.1,4.26,4.24,4.32,3.86
#8002,Adelphi Holdings,Northeast,2025-09-22,2025,Q3,9,35,26,74.2,4.18,4.12,4.13,4.09
#8002,Adelphi Holdings,Northeast,2025-09-29,2025,Q3,9,28,20,72.2,4.1,4.18,4.26,4.04
#8002,Adelphi Holdings,Northeast,2025-10-13,2025,Q4,10,28,21,73.3,4.12,4.25,4.14,4.13
#8002,Adelphi Holdings,Northeast,2025-10-20,2025,Q4,10,31,23,73.7,4.1,4.16,4.12,3.84
#8002,Adelphi Holdings,Northeast,2025-10-27,2025,Q4,10,32,23,73.0,4.11,4.03,4.25,4.0
#8002,Adelphi Holdings,Northeast,2025-11-03,2025,Q4,11,30,22,72.7,4.12,4.27,4.36,4.01
#8002,Adelphi Holdings,Northeast,2025-11-10,2025,Q4,11,30,22,72.8,4.31,4.26,4.23,4.0
#8002,Adelphi Holdings,Northeast,2025-11-24,2025,Q4,11,31,22,72.4,4.05,4.06,4.13,3.94
#8002,Adelphi Holdings,Northeast,2025-12-01,2025,Q4,12,28,20,72.2,4.28,4.19,4.3,3.85
#8002,Adelphi Holdings,Northeast,2025-12-08,2025,Q4,12,28,21,74.6,4.14,4.15,4.27,3.94
#8002,Adelphi Holdings,Northeast,2025-12-15,2025,Q4,12,32,24,74.2,4.1,4.13,4.33,4.1
#8002,Adelphi Holdings,Northeast,2025-12-22,2025,Q4,12,32,24,75.1,4.09,4.27,4.22,3.85
#8002,Adelphi Holdings,Northeast,2026-01-05,2026,Q1,1,31,23,73.7,4.08,4.09,4.22,3.92
#8002,Adelphi Holdings,Northeast,2026-01-12,2026,Q1,1,28,20,73.2,4.08,4.2,4.23,3.91
#8002,Adelphi Holdings,Northeast,2026-01-19,2026,Q1,1,37,27,72.6,4.12,4.21,4.38,4.06
#8002,Adelphi Holdings,Northeast,2026-01-26,2026,Q1,1,34,25,72.9,4.05,4.1,4.13,3.96
#8002,Adelphi Holdings,Northeast,2026-02-02,2026,Q1,2,34,25,72.9,4.27,4.11,4.31,3.87
#8002,Adelphi Holdings,Northeast,2026-02-09,2026,Q1,2,27,20,72.8,4.25,4.08,4.17,3.85
#8002,Adelphi Holdings,Northeast,2026-02-23,2026,Q1,2,35,26,74.6,4.08,4.18,4.12,4.03
#8002,Adelphi Holdings,Northeast,2026-03-02,2026,Q1,3,29,22,74.7,4.22,4.05,4.19,4.11
#8002,Adelphi Holdings,Northeast,2026-03-09,2026,Q1,3,30,22,73.5,4.1,3.99,4.1,4.06
#8002,Adelphi Holdings,Northeast,2026-03-16,2026,Q1,3,32,23,73.4,4.21,4.02,4.25,3.98
#8002,Adelphi Holdings,Northeast,2026-03-30,2026,Q1,3,36,27,75.1,4.09,4.22,4.25,3.97
#8002,Adelphi Holdings,Northeast,2026-04-27,2026,Q2,4,33,24,74.1,4.24,4.02,4.27,3.9
#8002,Adelphi Holdings,Northeast,2026-05-04,2026,Q2,5,28,21,73.9,4.09,4.18,4.36,3.99
#8002,Adelphi Holdings,Northeast,2026-05-11,2026,Q2,5,37,27,74.2,4.19,4.06,4.35,3.89
#8002,Adelphi Holdings,Northeast,2026-05-18,2026,Q2,5,34,24,71.9,4.26,4.19,4.38,4.09
#8002,Adelphi Holdings,Northeast,2026-05-25,2026,Q2,5,33,24,72.8,4.11,4.25,4.12,4.01
#8003,Adelphi Holdings,Northeast,2024-01-01,2024,Q1,1,26,19,73.9,4.23,4.0,4.31,3.94
#8003,Adelphi Holdings,Northeast,2024-01-08,2024,Q1,1,35,25,71.6,4.1,3.97,4.26,4.07
#8003,Adelphi Holdings,Northeast,2024-01-22,2024,Q1,1,27,19,72.1,4.0,3.96,4.17,3.98
#8003,Adelphi Holdings,Northeast,2024-01-29,2024,Q1,1,27,19,71.5,4.1,3.99,4.26,4.07
#8003,Adelphi Holdings,Northeast,2024-02-05,2024,Q1,2,28,21,73.5,4.2,4.04,4.12,3.99
#8003,Adelphi Holdings,Northeast,2024-02-26,2024,Q1,2,27,20,73.7,4.12,4.17,4.31,3.9
#8003,Adelphi Holdings,Northeast,2024-03-04,2024,Q1,3,32,24,73.5,4.27,4.02,4.22,3.86
#8003,Adelphi Holdings,Northeast,2024-03-11,2024,Q1,3,36,26,71.9,4.03,4.05,4.07,3.86
#8003,Adelphi Holdings,Northeast,2024-03-18,2024,Q1,3,26,19,71.5,4.11,3.96,4.14,4.04
#8003,Adelphi Holdings,Northeast,2024-04-01,2024,Q2,4,33,24,73.2,4.07,4.08,4.15,4.03
#8003,Adelphi Holdings,Northeast,2024-04-15,2024,Q2,4,26,19,73.7,4.13,4.18,4.11,3.82
#8003,Adelphi Holdings,Northeast,2024-04-22,2024,Q2,4,31,23,73.8,4.15,4.08,4.3,3.92
#8003,Adelphi Holdings,Northeast,2024-04-29,2024,Q2,4,31,23,73.0,4.02,4.0,4.15,4.07
#8003,Adelphi Holdings,Northeast,2024-05-13,2024,Q2,5,32,23,71.3,4.06,4.14,4.3,4.04
#8003,Adelphi Holdings,Northeast,2024-05-27,2024,Q2,5,33,23,70.8,4.27,3.94,4.26,3.91
#8003,Adelphi Holdings,Northeast,2024-06-10,2024,Q2,6,27,20,72.7,4.21,4.09,4.19,3.98
#8003,Adelphi Holdings,Northeast,2024-06-17,2024,Q2,6,30,22,72.9,4.05,3.94,4.04,3.78
#8003,Adelphi Holdings,Northeast,2024-06-24,2024,Q2,6,35,25,71.8,3.99,3.99,4.18,3.83
#8003,Adelphi Holdings,Northeast,2024-07-01,2024,Q3,7,27,20,74.1,4.16,4.09,4.21,3.88
#8003,Adelphi Holdings,Northeast,2024-07-15,2024,Q3,7,34,24,70.9,4.08,4.22,4.17,3.93
#8003,Adelphi Holdings,Northeast,2024-07-22,2024,Q3,7,27,19,70.8,4.0,3.95,4.2,3.92
#8003,Adelphi Holdings,Northeast,2024-08-05,2024,Q3,8,35,25,70.9,4.19,4.06,4.26,4.01
#8003,Adelphi Holdings,Northeast,2024-08-12,2024,Q3,8,32,23,71.4,4.09,4.2,4.28,3.86
#8003,Adelphi Holdings,Northeast,2024-08-26,2024,Q3,8,31,22,72.5,4.12,4.18,4.05,3.79
#8003,Adelphi Holdings,Northeast,2024-09-02,2024,Q3,9,27,20,72.3,4.23,3.99,4.15,3.79
#8003,Adelphi Holdings,Northeast,2024-09-09,2024,Q3,9,30,22,72.7,4.09,4.0,4.33,4.03
#8003,Adelphi Holdings,Northeast,2024-09-16,2024,Q3,9,26,19,73.7,4.24,4.03,4.26,3.88
#8003,Adelphi Holdings,Northeast,2024-09-23,2024,Q3,9,33,24,72.4,4.14,4.15,4.06,3.95
#8003,Adelphi Holdings,Northeast,2024-10-07,2024,Q4,10,31,23,73.6,4.16,3.99,4.23,4.02
#8003,Adelphi Holdings,Northeast,2024-10-21,2024,Q4,10,30,21,71.0,4.13,3.94,4.2,3.99
#8003,Adelphi Holdings,Northeast,2024-10-28,2024,Q4,10,29,21,73.0,4.19,3.94,4.06,3.78
#8003,Adelphi Holdings,Northeast,2024-11-11,2024,Q4,11,27,20,72.7,4.09,3.98,4.25,4.02
#8003,Adelphi Holdings,Northeast,2024-11-25,2024,Q4,11,28,20,72.8,4.28,4.15,4.1,3.95
#8003,Adelphi Holdings,Northeast,2024-12-02,2024,Q4,12,35,26,73.5,4.12,4.1,4.15,4.0
#8003,Adelphi Holdings,Northeast,2024-12-09,2024,Q4,12,31,22,72.0,4.27,4.1,4.19,3.84
