AuditID,StoreID,FranchiseOwner,Region,AuditDate,FiscalYear,FiscalQuarter,FSA_Score,FirstPriorityFinding,SecondPriorityFinding,AuditorCode
AUD-10054,#8006,Boardwalk Restaurants,Northeast,2026-05-04,2026,Q2,90,False,False,STR-02
AUD-10055,#8007,Boardwalk Restaurants,Northeast,2024-03-05,2024,Q1,91,False,True,STR-03
AUD-10056,#8007,Boardwalk Restaurants,Northeast,2024-06-15,2024,Q2,91,False,False,STR-05
AUD-10057,#8007,Boardwalk Restaurants,Northeast,2024-08-31,2024,Q3,90,False,False,STR-02
AUD-10058,#8007,Boardwalk Restaurants,Northeast,2024-12-08,2024,Q4,91,False,False,STR-05
AUD-10059,#8007,Boardwalk Restaurants,Northeast,2025-03-17,2025,Q1,91,False,True,STR-03
AUD-10060,#8007,Boardwalk Restaurants,Northeast,2025-06-07,2025,Q2,91,False,False,STR-03
AUD-10061,#8007,Boardwalk Restaurants,Northeast,2025-09-10,2025,Q3,89,True,False,STR-01
AUD-10062,#8007,Boardwalk Restaurants,Northeast,2025-12-15,2025,Q4,90,False,False,STR-02
AUD-10063,#8007,Boardwalk Restaurants,Northeast,2026-03-13,2026,Q1,89,False,False,STR-05
AUD-10064,#8007,Boardwalk Restaurants,Northeast,2026-05-03,2026,Q2,89,False,False,STR-04
AUD-10065,#8008,Boardwalk Restaurants,Northeast,2024-03-04,2024,Q1,91,False,False,STR-02
AUD-10066,#8008,Boardwalk Restaurants,Northeast,2024-06-04,2024,Q2,90,False,False,STR-01
AUD-10067,#8008,Boardwalk Restaurants,Northeast,2024-09-10,2024,Q3,92,False,False,STR-03
AUD-10068,#8008,Boardwalk Restaurants,Northeast,2025-03-02,2025,Q1,92,False,False,STR-01
AUD-10069,#8008,Boardwalk Restaurants,Northeast,2025-06-20,2025,Q2,93,False,False,STR-04
AUD-10070,#8008,Boardwalk Restaurants,Northeast,2025-09-11,2025,Q3,92,False,False,STR-05
AUD-10071,#8008,Boardwalk Restaurants,Northeast,2025-11-29,2025,Q4,92,False,False,STR-05
AUD-10072,#8008,Boardwalk Restaurants,Northeast,2026-03-10,2026,Q1,91,False,True,STR-04
AUD-10073,#8008,Boardwalk Restaurants,Northeast,2026-05-02,2026,Q2,92,False,False,STR-05
AUD-10074,#8009,Boardwalk Restaurants,Northeast,2024-03-16,2024,Q1,87,False,False,STR-01
AUD-10075,#8009,Boardwalk Restaurants,Northeast,2024-06-12,2024,Q2,86,False,False,STR-04
AUD-10076,#8009,Boardwalk Restaurants,Northeast,2024-09-13,2024,Q3,85,False,False,STR-01
AUD-10077,#8009,Boardwalk Restaurants,Northeast,2024-12-14,2024,Q4,87,False,False,STR-02
AUD-10078,#8009,Boardwalk Restaurants,Northeast,2025-03-16,2025,Q1,86,False,False,STR-04
AUD-10079,#8009,Boardwalk Restaurants,Northeast,2025-06-14,2025,Q2,86,False,False,STR-05
AUD-10080,#8009,Boardwalk Restaurants,Northeast,2025-09-26,2025,Q3,87,False,True,STR-02
AUD-10081,#8009,Boardwalk Restaurants,Northeast,2025-12-10,2025,Q4,86,False,True,STR-02
AUD-10082,#8009,Boardwalk Restaurants,Northeast,2026-03-05,2026,Q1,86,False,True,STR-02
AUD-10083,#8009,Boardwalk Restaurants,Northeast,2026-05-14,2026,Q2,87,False,False,STR-03
AUD-10084,#8010,Boardwalk Restaurants,Northeast,2024-03-15,2024,Q1,91,False,False,STR-04
AUD-10085,#8010,Boardwalk Restaurants,Northeast,2024-06-24,2024,Q2,92,False,True,STR-02
AUD-10086,#8010,Boardwalk Restaurants,Northeast,2024-09-27,2024,Q3,92,True,True,STR-05
AUD-10087,#8010,Boardwalk Restaurants,Northeast,2024-12-23,2024,Q4,92,False,False,STR-05
AUD-10088,#8010,Boardwalk Restaurants,Northeast,2025-03-22,2025,Q1,93,False,True,STR-02
AUD-10089,#8010,Boardwalk Restaurants,Northeast,2025-09-01,2025,Q3,93,False,False,STR-03
AUD-10090,#8010,Boardwalk Restaurants,Northeast,2025-11-29,2025,Q4,91,False,False,STR-05
AUD-10091,#8010,Boardwalk Restaurants,Northeast,2026-05-23,2026,Q2,92,False,False,STR-05
AUD-10092,#8011,Cedar Hill Group,Northeast,2024-03-03,2024,Q1,94,False,True,STR-02
AUD-10093,#8011,Cedar Hill Group,Northeast,2024-09-03,2024,Q3,93,True,False,STR-02
AUD-10094,#8011,Cedar Hill Group,Northeast,2024-12-10,2024,Q4,95,False,False,STR-04
AUD-10095,#8011,Cedar Hill Group,Northeast,2025-03-03,2025,Q1,93,False,True,STR-03
AUD-10096,#8011,Cedar Hill Group,Northeast,2025-05-30,2025,Q2,94,False,False,STR-05
AUD-10097,#8011,Cedar Hill Group,Northeast,2025-09-02,2025,Q3,95,False,False,STR-03
AUD-10098,#8011,Cedar Hill Group,Northeast,2025-12-14,2025,Q4,95,False,False,STR-05
AUD-10099,#8011,Cedar Hill Group,Northeast,2026-03-17,2026,Q1,95,False,False,STR-04
AUD-10100,#8012,Cedar Hill Group,Northeast,2024-03-15,2024,Q1,84,True,False,STR-02
AUD-10101,#8012,Cedar Hill Group,Northeast,2024-06-10,2024,Q2,85,False,True,STR-05
AUD-10102,#8012,Cedar Hill Group,Northeast,2024-09-19,2024,Q3,84,False,False,STR-03
AUD-10103,#8012,Cedar Hill Group,Northeast,2025-03-07,2025,Q1,86,False,False,STR-01
AUD-10104,#8012,Cedar Hill Group,Northeast,2025-06-25,2025,Q2,86,False,False,STR-02
AUD-10105,#8012,Cedar Hill Group,Northeast,2025-09-20,2025,Q3,85,False,False,STR-01
AUD-10106,#8012,Cedar Hill Group,Northeast,2025-12-11,2025,Q4,86,False,True,STR-03
AUD-10107,#8012,Cedar Hill Group,Northeast,2026-05-15,2026,Q2,86,False,False,STR-04
AUD-10108,#8013,Cedar Hill Group,Northeast,2024-03-20,2024,Q1,85,False,False,STR-04
AUD-10109,#8013,Cedar Hill Group,Northeast,2024-06-17,2024,Q2,86,False,False,STR-05
AUD-10110,#8013,Cedar Hill Group,Northeast,2024-09-10,2024,Q3,86,False,False,STR-05
AUD-10111,#8013,Cedar Hill Group,Northeast,2024-12-11,2024,Q4,85,False,False,STR-02
AUD-10112,#8013,Cedar Hill Group,Northeast,2025-03-15,2025,Q1,86,False,False,STR-05
AUD-10113,#8013,Cedar Hill Group,Northeast,2025-06-07,2025,Q2,84,False,False,STR-01
AUD-10114,#8013,Cedar Hill Group,Northeast,2025-09-15,2025,Q3,85,False,False,STR-01
AUD-10115,#8013,Cedar Hill Group,Northeast,2025-11-28,2025,Q4,86,False,False,STR-05
AUD-10116,#8013,Cedar Hill Group,Northeast,2026-03-19,2026,Q1,85,False,True,STR-01
AUD-10117,#8013,Cedar Hill Group,Northeast,2026-05-03,2026,Q2,86,False,False,STR-04
AUD-10118,#8014,Cedar Hill Group,Northeast,2024-03-29,2024,Q1,93,False,False,STR-04
AUD-10119,#8014,Cedar Hill Group,Northeast,2024-06-09,2024,Q2,93,False,False,STR-04
AUD-10120,#8014,Cedar Hill Group,Northeast,2024-09-05,2024,Q3,94,False,False,STR-01
AUD-10121,#8014,Cedar Hill Group,Northeast,2025-03-17,2025,Q1,92,False,False,STR-01
AUD-10122,#8014,Cedar Hill Group,Northeast,2025-06-24,2025,Q2,93,False,False,STR-03
AUD-10123,#8014,Cedar Hill Group,Northeast,2025-09-13,2025,Q3,94,False,False,STR-02
AUD-10124,#8014,Cedar Hill Group,Northeast,2025-12-05,2025,Q4,92,False,True,STR-04
AUD-10125,#8014,Cedar Hill Group,Northeast,2026-03-13,2026,Q1,94,False,False,STR-05
AUD-10126,#8014,Cedar Hill Group,Northeast,2026-05-20,2026,Q2,94,False,False,STR-05
AUD-10127,#8015,Cedar Hill Group,Northeast,2024-03-19,2024,Q1,94,False,False,STR-04
AUD-10128,#8015,Cedar Hill Group,Northeast,2024-06-18,2024,Q2,93,False,False,STR-03
AUD-10129,#8015,Cedar Hill Group,Northeast,2024-12-24,2024,Q4,93,False,False,STR-04
AUD-10130,#8015,Cedar Hill Group,Northeast,2025-03-25,2025,Q1,95,True,True,STR-05
AUD-10131,#8015,Cedar Hill Group,Northeast,2025-06-22,2025,Q2,94,False,False,STR-02
AUD-10132,#8015,Cedar Hill Group,Northeast,2025-09-20,2025,Q3,94,False,False,STR-03
AUD-10133,#8015,Cedar Hill Group,Northeast,2026-03-19,2026,Q1,92,False,False,STR-05
AUD-10134,#8015,Cedar Hill Group,Northeast,2026-05-23,2026,Q2,94,False,True,STR-02
AUD-10135,#8016,Driftwood Foods,Northeast,2024-03-22,2024,Q1,86,False,False,STR-01
AUD-10136,#8016,Driftwood Foods,Northeast,2024-09-01,2024,Q3,86,False,False,STR-04
AUD-10137,#8016,Driftwood Foods,Northeast,2024-12-27,2024,Q4,85,False,False,STR-03
AUD-10138,#8016,Driftwood Foods,Northeast,2025-03-15,2025,Q1,86,False,True,STR-05
AUD-10139,#8016,Driftwood Foods,Northeast,2025-06-08,2025,Q2,86,False,False,STR-04
AUD-10140,#8016,Driftwood Foods,Northeast,2025-09-16,2025,Q3,85,False,True,STR-01
AUD-10141,#8016,Driftwood Foods,Northeast,2025-11-28,2025,Q4,86,False,False,STR-01
AUD-10142,#8016,Driftwood Foods,Northeast,2026-03-25,2026,Q1,86,True,False,STR-04
AUD-10143,#8016,Driftwood Foods,Northeast,2026-05-19,2026,Q2,86,False,True,STR-04
AUD-10144,#8017,Driftwood Foods,Northeast,2024-03-27,2024,Q1,94,True,False,STR-03
AUD-10145,#8017,Driftwood Foods,Northeast,2024-06-08,2024,Q2,95,False,True,STR-03
AUD-10146,#8017,Driftwood Foods,Northeast,2024-09-17,2024,Q3,94,False,False,STR-02
AUD-10147,#8017,Driftwood Foods,Northeast,2024-12-18,2024,Q4,94,False,False,STR-02
AUD-10148,#8017,Driftwood Foods,Northeast,2025-03-23,2025,Q1,96,False,False,STR-02
AUD-10149,#8017,Driftwood Foods,Northeast,2025-06-24,2025,Q2,95,False,False,STR-03
AUD-10150,#8017,Driftwood Foods,Northeast,2025-09-12,2025,Q3,94,False,True,STR-05
AUD-10151,#8017,Driftwood Foods,Northeast,2025-12-14,2025,Q4,95,False,False,STR-02
AUD-10152,#8017,Driftwood Foods,Northeast,2026-05-17,2026,Q2,93,False,False,STR-04
AUD-10153,#8018,Driftwood Foods,Northeast,2024-03-11,2024,Q1,86,False,False,STR-04
AUD-10154,#8018,Driftwood Foods,Northeast,2024-06-13,2024,Q2,85,False,False,STR-03
AUD-10155,#8018,Driftwood Foods,Northeast,2024-09-18,2024,Q3,84,False,False,STR-03
AUD-10156,#8018,Driftwood Foods,Northeast,2024-12-07,2024,Q4,86,False,False,STR-04
AUD-10157,#8018,Driftwood Foods,Northeast,2025-03-15,2025,Q1,85,True,True,STR-02
AUD-10158,#8018,Driftwood Foods,Northeast,2025-06-10,2025,Q2,85,False,True,STR-01
AUD-10159,#8018,Driftwood Foods,Northeast,2025-09-02,2025,Q3,85,False,False,STR-04
AUD-10160,#8018,Driftwood Foods,Northeast,2025-12-10,2025,Q4,86,False,False,STR-02
AUD-10161,#8018,Driftwood Foods,Northeast,2026-03-22,2026,Q1,85,False,False,STR-04
AUD-10162,#8019,Evergreen Capital,Northeast,2024-05-31,2024,Q2,82,False,False,STR-05
AUD-10163,#8019,Evergreen Capital,Northeast,2024-09-08,2024,Q3,82,False,False,STR-04
AUD-10164,#8019,Evergreen Capital,Northeast,2024-12-21,2024,Q4,82,False,False,STR-04
AUD-10165,#8019,Evergreen Capital,Northeast,2025-03-01,2025,Q1,82,False,False,STR-01
AUD-10166,#8019,Evergreen Capital,Northeast,2025-06-08,2025,Q2,82,False,False,STR-01
AUD-10167,#8019,Evergreen Capital,Northeast,2025-09-11,2025,Q3,83,False,False,STR-03
AUD-10168,#8019,Evergreen Capital,Northeast,2025-12-24,2025,Q4,84,False,False,STR-03
AUD-10169,#8019,Evergreen Capital,Northeast,2026-03-03,2026,Q1,84,False,True,STR-01
AUD-10170,#8019,Evergreen Capital,Northeast,2026-05-14,2026,Q2,82,False,False,STR-05
AUD-10171,#8020,Evergreen Capital,Northeast,2024-03-19,2024,Q1,86,False,False,STR-05
AUD-10172,#8020,Evergreen Capital,Northeast,2024-06-02,2024,Q2,86,False,False,STR-04
AUD-10173,#8020,Evergreen Capital,Northeast,2024-09-04,2024,Q3,87,False,False,STR-01
AUD-10174,#8020,Evergreen Capital,Northeast,2024-11-29,2024,Q4,87,False,False,STR-04
AUD-10175,#8020,Evergreen Capital,Northeast,2025-03-26,2025,Q1,86,False,False,STR-05
AUD-10176,#8020,Evergreen Capital,Northeast,2025-06-05,2025,Q2,85,False,False,STR-02
AUD-10177,#8020,Evergreen Capital,Northeast,2025-09-23,2025,Q3,87,False,False,STR-01
AUD-10178,#8020,Evergreen Capital,Northeast,2025-12-11,2025,Q4,87,False,False,STR-05
AUD-10179,#8020,Evergreen Capital,Northeast,2026-03-15,2026,Q1,87,False,True,STR-03
AUD-10180,#8020,Evergreen Capital,Northeast,2026-05-11,2026,Q2,88,False,False,STR-04
AUD-10181,#8021,Evergreen Capital,Northeast,2024-03-18,2024,Q1,82,False,False,STR-02
AUD-10182,#8021,Evergreen Capital,Northeast,2024-05-31,2024,Q2,82,False,True,STR-05
AUD-10183,#8021,Evergreen Capital,Northeast,2024-09-05,2024,Q3,82,False,False,STR-01
AUD-10184,#8021,Evergreen Capital,Northeast,2024-12-23,2024,Q4,82,True,False,STR-04
AUD-10185,#8021,Evergreen Capital,Northeast,2025-03-16,2025,Q1,81,False,False,STR-01
AUD-10186,#8021,Evergreen Capital,Northeast,2025-06-24,2025,Q2,80,False,False,STR-01
AUD-10187,#8021,Evergreen Capital,Northeast,2025-09-22,2025,Q3,81,False,False,STR-05
AUD-10188,#8021,Evergreen Capital,Northeast,2026-03-24,2026,Q1,82,False,False,STR-03
AUD-10189,#8021,Evergreen Capital,Northeast,2026-05-27,2026,Q2,82,False,False,STR-04
AUD-10190,#8022,Evergreen Capital,Northeast,2024-03-27,2024,Q1,92,False,False,STR-04
AUD-10191,#8022,Evergreen Capital,Northeast,2024-06-04,2024,Q2,89,False,True,STR-01
AUD-10192,#8022,Evergreen Capital,Northeast,2024-11-29,2024,Q4,90,False,False,STR-01
AUD-10193,#8022,Evergreen Capital,Northeast,2025-03-02,2025,Q1,91,False,False,STR-01
AUD-10194,#8022,Evergreen Capital,Northeast,2025-06-23,2025,Q2,89,False,False,STR-02
AUD-10195,#8022,Evergreen Capital,Northeast,2025-12-12,2025,Q4,92,False,False,STR-03
AUD-10196,#8022,Evergreen Capital,Northeast,2026-03-16,2026,Q1,91,False,False,STR-05
AUD-10197,#8023,Evergreen Capital,Northeast,2024-06-10,2024,Q2,89,False,False,STR-03
AUD-10198,#8023,Evergreen Capital,Northeast,2024-09-01,2024,Q3,88,False,True,STR-02
AUD-10199,#8023,Evergreen Capital,Northeast,2024-12-16,2024,Q4,90,False,True,STR-02
AUD-10200,#8023,Evergreen Capital,Northeast,2025-03-24,2025,Q1,89,True,False,STR-04
AUD-10201,#8023,Evergreen Capital,Northeast,2025-05-31,2025,Q2,88,False,False,STR-04
AUD-10202,#8023,Evergreen Capital,Northeast,2025-12-17,2025,Q4,89,False,True,STR-01
AUD-10203,#8023,Evergreen Capital,Northeast,2026-03-05,2026,Q1,88,False,False,STR-02
AUD-10204,#8023,Evergreen Capital,Northeast,2026-05-30,2026,Q2,87,True,True,STR-01
AUD-10205,#8024,Evergreen Capital,Northeast,2024-03-21,2024,Q1,85,False,False,STR-05
AUD-10206,#8024,Evergreen Capital,Northeast,2024-09-09,2024,Q3,84,False,False,STR-02
AUD-10207,#8024,Evergreen Capital,Northeast,2024-12-07,2024,Q4,84,False,False,STR-01
AUD-10208,#8024,Evergreen Capital,Northeast,2025-03-26,2025,Q1,85,False,True,STR-05
AUD-10209,#8024,Evergreen Capital,Northeast,2025-06-27,2025,Q2,84,False,False,STR-04
AUD-10210,#8024,Evergreen Capital,Northeast,2025-12-19,2025,Q4,85,False,False,STR-03
AUD-10211,#8024,Evergreen Capital,Northeast,2026-03-23,2026,Q1,83,False,True,STR-02
AUD-10212,#8024,Evergreen Capital,Northeast,2026-05-30,2026,Q2,84,False,True,STR-04
AUD-10213,#8025,Evergreen Capital,Northeast,2024-03-12,2024,Q1,82,False,False,STR-04
AUD-10214,#8025,Evergreen Capital,Northeast,2024-06-01,2024,Q2,82,False,False,STR-04
AUD-10215,#8025,Evergreen Capital,Northeast,2024-09-01,2024,Q3,83,False,False,STR-05
AUD-10216,#8025,Evergreen Capital,Northeast,2024-12-26,2024,Q4,82,False,True,STR-03
AUD-10217,#8025,Evergreen Capital,Northeast,2025-03-28,2025,Q1,81,False,False,STR-03
AUD-10218,#8025,Evergreen Capital,Northeast,2025-05-31,2025,Q2,82,False,False,STR-03
AUD-10219,#8025,Evergreen Capital,Northeast,2025-09-12,2025,Q3,80,True,True,STR-03
AUD-10220,#8025,Evergreen Capital,Northeast,2025-12-08,2025,Q4,81,False,True,STR-01
AUD-10221,#8025,Evergreen Capital,Northeast,2026-03-04,2026,Q1,81,False,False,STR-04
AUD-10222,#8025,Evergreen Capital,Northeast,2026-05-16,2026,Q2,83,False,False,STR-05
AUD-10223,#8026,Fairmount Brands,Mid-Atlantic,2024-03-02,2024,Q1,84,False,False,STR-05
AUD-10224,#8026,Fairmount Brands,Mid-Atlantic,2024-06-14,2024,Q2,84,False,False,STR-03
AUD-10225,#8026,Fairmount Brands,Mid-Atlantic,2024-09-11,2024,Q3,83,False,True,STR-04
AUD-10226,#8026,Fairmount Brands,Mid-Atlantic,2025-03-06,2025,Q1,81,True,False,STR-04
AUD-10227,#8026,Fairmount Brands,Mid-Atlantic,2025-06-08,2025,Q2,83,False,False,STR-03
AUD-10228,#8026,Fairmount Brands,Mid-Atlantic,2025-09-25,2025,Q3,83,False,False,STR-05
AUD-10229,#8026,Fairmount Brands,Mid-Atlantic,2025-12-10,2025,Q4,84,False,True,STR-02
AUD-10230,#8026,Fairmount Brands,Mid-Atlantic,2026-03-03,2026,Q1,83,False,False,STR-02
AUD-10231,#8026,Fairmount Brands,Mid-Atlantic,2026-05-18,2026,Q2,83,False,False,STR-03
AUD-10232,#8027,Fairmount Brands,Mid-Atlantic,2024-06-17,2024,Q2,85,False,False,STR-02
AUD-10233,#8027,Fairmount Brands,Mid-Atlantic,2024-09-22,2024,Q3,86,True,False,STR-01
AUD-10234,#8027,Fairmount Brands,Mid-Atlantic,2024-12-15,2024,Q4,86,False,False,STR-05
AUD-10235,#8027,Fairmount Brands,Mid-Atlantic,2025-03-03,2025,Q1,87,False,False,STR-01
AUD-10236,#8027,Fairmount Brands,Mid-Atlantic,2025-06-25,2025,Q2,87,False,True,STR-01
AUD-10237,#8027,Fairmount Brands,Mid-Atlantic,2025-09-22,2025,Q3,85,False,False,STR-01
AUD-10238,#8027,Fairmount Brands,Mid-Atlantic,2026-03-26,2026,Q1,85,False,False,STR-04
AUD-10239,#8028,Fairmount Brands,Mid-Atlantic,2024-06-19,2024,Q2,86,False,False,STR-05
AUD-10240,#8028,Fairmount Brands,Mid-Atlantic,2024-09-10,2024,Q3,87,False,True,STR-03
AUD-10241,#8028,Fairmount Brands,Mid-Atlantic,2024-12-22,2024,Q4,88,False,False,STR-03
AUD-10242,#8028,Fairmount Brands,Mid-Atlantic,2025-03-21,2025,Q1,87,False,False,STR-01
AUD-10243,#8028,Fairmount Brands,Mid-Atlantic,2025-06-24,2025,Q2,87,False,False,STR-03
AUD-10244,#8028,Fairmount Brands,Mid-Atlantic,2025-09-01,2025,Q3,89,False,False,STR-01
AUD-10245,#8028,Fairmount Brands,Mid-Atlantic,2025-12-08,2025,Q4,89,False,False,STR-01
AUD-10246,#8028,Fairmount Brands,Mid-Atlantic,2026-03-02,2026,Q1,87,False,False,STR-03
AUD-10247,#8029,Fairmount Brands,Mid-Atlantic,2024-03-15,2024,Q1,91,False,False,STR-01
AUD-10248,#8029,Fairmount Brands,Mid-Atlantic,2024-06-28,2024,Q2,88,False,False,STR-03
AUD-10249,#8029,Fairmount Brands,Mid-Atlantic,2024-09-19,2024,Q3,90,False,True,STR-02
AUD-10250,#8029,Fairmount Brands,Mid-Atlantic,2024-12-08,2024,Q4,89,False,False,STR-05
AUD-10251,#8029,Fairmount Brands,Mid-Atlantic,2025-03-25,2025,Q1,90,False,False,STR-05
AUD-10252,#8029,Fairmount Brands,Mid-Atlantic,2025-06-07,2025,Q2,91,True,False,STR-03
AUD-10253,#8029,Fairmount Brands,Mid-Atlantic,2025-09-08,2025,Q3,89,False,False,STR-04
AUD-10254,#8029,Fairmount Brands,Mid-Atlantic,2025-12-16,2025,Q4,88,False,False,STR-02
AUD-10255,#8029,Fairmount Brands,Mid-Atlantic,2026-03-10,2026,Q1,88,False,True,STR-03
AUD-10256,#8029,Fairmount Brands,Mid-Atlantic,2026-05-10,2026,Q2,90,False,False,STR-04
AUD-10257,#8030,Fairmount Brands,Mid-Atlantic,2024-06-18,2024,Q2,84,False,False,STR-05
AUD-10258,#8030,Fairmount Brands,Mid-Atlantic,2024-12-18,2024,Q4,83,False,False,STR-01
AUD-10259,#8030,Fairmount Brands,Mid-Atlantic,2025-06-27,2025,Q2,83,True,True,STR-04
AUD-10260,#8030,Fairmount Brands,Mid-Atlantic,2025-09-16,2025,Q3,82,False,True,STR-04
AUD-10261,#8030,Fairmount Brands,Mid-Atlantic,2025-12-17,2025,Q4,85,False,True,STR-05
AUD-10262,#8030,Fairmount Brands,Mid-Atlantic,2026-03-21,2026,Q1,84,False,False,STR-01
AUD-10263,#8031,Garden State Subs,Mid-Atlantic,2024-03-20,2024,Q1,86,False,False,STR-04
AUD-10264,#8031,Garden State Subs,Mid-Atlantic,2024-09-23,2024,Q3,88,False,False,STR-01
AUD-10265,#8031,Garden State Subs,Mid-Atlantic,2025-09-01,2025,Q3,87,False,False,STR-02
AUD-10266,#8031,Garden State Subs,Mid-Atlantic,2025-12-24,2025,Q4,87,False,False,STR-03
AUD-10267,#8031,Garden State Subs,Mid-Atlantic,2026-03-22,2026,Q1,88,False,True,STR-04
